"","year","station","index"
"115",1969,"N60W146",4.81521739130435
"116",1970,"N60W146",6.84782608695652
"117",1971,"N60W146",5.22826086956522
"118",1972,"N60W146",6.23913043478261
"119",1973,"N60W146",9.67391304347826
"120",1974,"N60W146",8.77173913043478
"121",1975,"N60W146",4.28260869565217
"122",1976,"N60W146",1.26086956521739
"123",1977,"N60W146",-0.489130434782609
"124",1978,"N60W146",11.2282608695652
"125",1979,"N60W146",1.34782608695652
"126",1980,"N60W146",7.51086956521739
"127",1981,"N60W146",-0.945652173913043
"128",1982,"N60W146",3.56521739130435
"129",1983,"N60W146",1.25
"130",1984,"N60W146",-108.847826086957
"131",1985,"N60W146",1.10869565217391
"132",1986,"N60W146",1.07608695652174
"133",1987,"N60W146",-4.98913043478261
"134",1988,"N60W146",-4.01086956521739
"135",1989,"N60W146",1.43478260869565
"136",1990,"N60W146",2.22826086956522
"137",1991,"N60W146",-0.16304347826087
"138",1992,"N60W146",2.3804347826087
"139",1993,"N60W146",5.68478260869565
"140",1994,"N60W146",6.72826086956522
"141",1995,"N60W146",2.57608695652174
"142",1996,"N60W146",2.79347826086957
"143",1997,"N60W146",3.40217391304348
"144",1998,"N60W146",3.98913043478261
"145",1999,"N60W146",-0.695652173913043
"146",2000,"N60W146",-0.380434782608696
"147",2001,"N60W146",-1.57608695652174
"148",2002,"N60W146",3.57608695652174
"149",2003,"N60W146",2.16304347826087
"150",2004,"N60W146",0.673913043478261
"151",2005,"N60W146",1.01086956521739
"152",2006,"N60W146",7.09782608695652
"153",2007,"N60W146",0.760869565217391
"154",2008,"N60W146",-3.71739130434783
"155",2009,"N60W146",1.48913043478261
"156",2010,"N60W146",-2.64130434782609
"157",2011,"N60W146",-3.72826086956522
"158",2012,"N60W146",-2.15217391304348
"159",2013,"N60W146",-0.239130434782609
"160",2014,"N60W146",-7.43478260869565
"161",2015,"N60W146",-2.52173913043478
"162",2016,"N60W146",-2.6304347826087
"163",2017,"N60W146",-7.56521739130435
"164",2018,"N60W146",9.54347826086956
"165",2019,"N60W146",2.29347826086957
"166",2020,"N60W146",-4.27173913043478
"167",2021,"N60W146",-0.923913043478261
"168",2022,"N60W146",-2.27173913043478
"169",1967,"N60W149",12.6413043478261
"170",1968,"N60W149",-1.52173913043478
"171",1969,"N60W149",6.04347826086957
"172",1970,"N60W149",9.05434782608696
"173",1971,"N60W149",5.76086956521739
"174",1972,"N60W149",5.22826086956522
"175",1973,"N60W149",7.64130434782609
"176",1974,"N60W149",8.28260869565217
"177",1975,"N60W149",2.83695652173913
"178",1976,"N60W149",1.42391304347826
"179",1977,"N60W149",1.39130434782609
"180",1978,"N60W149",12.3260869565217
"181",1979,"N60W149",2.81521739130435
"182",1980,"N60W149",11.554347826087
"183",1981,"N60W149",3.94565217391304
"184",1982,"N60W149",6.43478260869565
"185",1983,"N60W149",1.06521739130435
"186",1984,"N60W149",-110.184782608696
"187",1985,"N60W149",3.01086956521739
"188",1986,"N60W149",2.80434782608696
"189",1987,"N60W149",-3.97826086956522
"190",1988,"N60W149",-0.33695652173913
"191",1989,"N60W149",3.23913043478261
"192",1990,"N60W149",3.8695652173913
"193",1991,"N60W149",1.58695652173913
"194",1992,"N60W149",4.78260869565217
"195",1993,"N60W149",7.23913043478261
"196",1994,"N60W149",8.03260869565217
"197",1995,"N60W149",2
"198",1996,"N60W149",4.5
"199",1997,"N60W149",5.33695652173913
"200",1998,"N60W149",4.72826086956522
"201",1999,"N60W149",0.478260869565217
"202",2000,"N60W149",0.58695652173913
"203",2001,"N60W149",-0.206521739130435
"204",2002,"N60W149",5.65217391304348
"205",2003,"N60W149",3.52173913043478
"206",2004,"N60W149",-0.543478260869565
"207",2005,"N60W149",3.16304347826087
"208",2006,"N60W149",8.23913043478261
"209",2007,"N60W149",2.1304347826087
"210",2008,"N60W149",-1.33695652173913
"211",2009,"N60W149",3.08695652173913
"212",2010,"N60W149",5.03260869565217
"213",2011,"N60W149",3.3695652173913
"214",2012,"N60W149",4.54347826086957
"215",2013,"N60W149",5.71739130434783
"216",2014,"N60W149",-0.195652173913043
"217",2015,"N60W149",2.34782608695652
"218",2016,"N60W149",5.30434782608696
"219",2017,"N60W149",-1.43478260869565
"220",2018,"N60W149",16.6195652173913
"221",2019,"N60W149",3.73913043478261
"222",2020,"N60W149",3.34782608695652
"223",2021,"N60W149",4.41304347826087
"224",2022,"N60W149",6.60869565217391
